class,pc1,pc2
Not,-24.80348521,8.793977922
Not,-17.91638644,8.633068339
Not,-20.73128369,16.00063549
Not,-15.51338794,9.740261887
Not,-23.88563027,20.1029325
Not,-18.51997727,13.15908076
Not,-16.0920236,9.877699514
Not,-15.85936898,7.847497
Not,-20.93277491,5.61289763
Not,-19.95539411,8.111436299
Not,-14.24329441,2.862054594
Germinated,-20.10368499,13.53530034
Not,-14.65743464,6.854262908
Not,-16.62176671,10.27737
Not,-17.72414234,11.0192557
Not,-16.74681545,9.433278695
Not,-19.70573029,1.481508745
Not,-21.40390684,12.39816463
Not,-21.92105471,16.92418809
Not,-17.02960548,7.374125025
Not,-12.23529982,5.622618163
Germinated,-26.406389,16.23289199
Not,-21.22582751,10.56484478
Not,-20.18069333,11.81071463
Not,-24.89595682,8.177013455
Not,-17.27781801,9.60423725
Not,-15.71368241,9.259819961
Not,-24.42009913,14.58863562
Germinated,-19.0538959,10.71644424
Not,-16.33549689,8.562733315
Not,-14.55758518,7.886531374
Not,-16.6140719,8.783305013
Not,-24.50282645,4.510733824
Not,-19.60569326,10.75251865
Not,-20.15135067,14.90504032
Germinated,-16.26691017,7.893093917
Not,-20.57081051,16.66062087
Not,-17.35542265,10.56163219
Not,-16.63637752,11.45284769
Not,-16.30615899,8.120235835
Not,-28.02973309,5.890098801
Not,-18.14452593,6.320051442
Not,-19.2026114,11.69464161
Not,-24.54781573,18.27596343
Not,-16.28297581,11.01294399
Not,-19.36048137,14.07573923
Not,-14.50266381,7.127901798
Not,-15.03081338,6.409346658
Not,-23.97889075,3.591737554
Not,-21.70842494,10.91232419
Not,-14.43169699,6.51809741
Not,-19.47652249,14.67509277
Not,-16.91527359,10.36843111
Not,-26.85990702,16.99304771
Not,-15.71709876,11.86550501
Not,-18.49366534,13.67926936
Germinated,-19.98438411,3.444848421
Not,-17.42009716,10.74616361
Not,-13.307372,4.641571892
Germinated,-25.13547946,19.436083
Not,-17.19771608,10.87817843
Not,-14.26064405,4.893820053
Not,-20.75049827,15.63623987
Not,-13.62033169,6.214382546
Not,-22.11642551,8.091462922
Not,-16.62943464,7.809871534
Not,-19.28488472,14.53337887
Not,-13.4125098,7.851954952
Not,-23.29162445,18.83392578
Not,-17.3704494,11.6332723
Germinated,-14.45420701,8.432615452
Not,-14.9999079,7.293981767
Not,-19.51737298,6.252276654
Not,-20.776997,8.788158903
Not,-13.62307639,1.852959988
Germinated,-20.71281534,13.22049529
Not,-13.7107127,6.124607215
Not,-16.04756039,9.969576521
Not,-17.33205224,10.24522772
Not,-16.20059295,8.451444001
Not,-17.96933857,1.53365022
Not,-21.31189149,11.06685411
Germinated,-20.85426168,14.18676476
Not,-16.18921,6.957389317
Not,-11.70720679,5.14679069
Germinated,-26.58698533,14.8461349
Not,-22.09264677,11.49099824
Germinated,-21.70829507,12.75281124
Not,-22.45262237,3.984501479
Not,-18.4492396,9.383656127
Not,-16.43850233,9.788369058
Germinated,-26.7434791,12.43331883
Germinated,-18.75409905,5.516371631
Not,-16.34216719,8.001532777
Germinated,-15.2774749,8.151042241
Germinated,-18.21481061,8.468780807
Not,-24.49257803,5.597074815
Not,-21.06128849,10.95086211
Germinated,-19.97198236,10.48149154
Germinated,-17.87792402,6.910899102
Not,-21.80664046,15.09105764
Not,-20.89140917,12.29377641
Not,-18.60854603,13.20580442
Not,-17.09184643,8.033493464
Not,-28.10187198,6.729535056
Not,-20.32699162,5.452768475
Not,-20.76085139,13.19644263
Germinated,-30.50338409,21.58046198
Germinated,-17.27291377,8.937866615
Germinated,-23.98603335,17.92909021
Not,-16.74573498,7.467676656
Not,-17.60729174,7.820046704
Germinated,-25.76422371,5.301916943
Germinated,-28.40268599,16.06072299
Not,-14.66966946,6.177383369
Germinated,-24.05599452,17.96236091
Not,-20.36323937,13.71157985
Germinated,-36.54345286,25.03853343
Germinated,-20.01571934,14.00036484
Germinated,-22.68415346,12.57733306
Germinated,-22.92473874,5.70478821
Not,-22.2919948,13.35008016
Not,-18.08267675,7.946117592
Germinated,-38.09257039,25.37551535
Germinated,-24.16784822,14.18541261
Not,-20.40906949,8.868538144
Germinated,-26.89339338,18.95389373
Not,-18.33717714,9.362517179
Not,-19.27638431,5.0200676
Not,-14.64893742,5.406166567
Not,-19.3159547,14.53102099
Not,-13.40309502,7.672118671
Not,-24.04573934,19.44960338
Not,-17.32151712,11.48492953
Germinated,-14.22083475,7.528089054
Not,-14.69051783,6.789925918
Not,-18.46781374,5.137584418
Not,-20.09828938,8.87689904
Not,-13.53019665,0.117178323
Germinated,-18.25955345,8.143989952
Not,-13.31209613,5.505658893
Not,-16.54649951,10.46800241
Not,-17.82838114,10.90081807
Not,-15.73362748,7.609246228
Not,-18.036656,0.36050598
Not,-20.99186562,10.12356171
Germinated,-20.289528,10.18677504
Not,-15.87883122,7.776427962
Not,-12.28486292,5.375013063
Germinated,-27.30293818,15.76863022
Not,-22.20020019,12.15735761
Germinated,-21.25322355,9.873107623
Germinated,-22.89141745,3.989715319
Not,-18.25913281,10.06429074
Not,-16.68978859,10.45639979
Germinated,-30.12890371,13.04572051
Germinated,-21.59063998,6.780900239
Not,-14.72049254,3.849733875
Germinated,-15.6375956,8.147224482
Germinated,-17.41382909,4.997703906
Not,-24.99868807,6.045274226
Not,-22.21214512,10.57473084
Germinated,-21.55523784,9.733451452
Germinated,-20.6028909,8.270644602
Germinated,-21.52153061,13.26312814
Not,-20.75291056,13.10029915
Not,-18.81865034,13.73369374
Not,-17.37267793,9.254363228
Not,-27.15627554,1.442270418
Not,-19.66301702,-1.992198335
Not,-21.06657249,13.33044853
Germinated,-31.37520062,20.79592346
Germinated,-19.72172197,11.47862224
Germinated,-25.69657878,18.50724076
Not,-14.88843685,4.193269542
Not,-16.86961855,8.961512377
Germinated,-28.84038467,-0.170248945
Germinated,-33.40480224,9.696674737
Not,-14.33422281,1.513661991
Germinated,-21.44737685,6.249466642
Not,-19.3984995,12.94368816
Germinated,-37.4503636,23.99273557
Germinated,-19.57659754,13.2833939
Germinated,-21.29573744,8.218118796
Germinated,-35.77244485,4.794352829
Not,-31.18534348,15.10374017
Not,-17.05223281,8.676946069
Germinated,-35.11085276,20.64574735
Germinated,-20.87503121,11.07464468
Not,-17.85946446,9.926922553
Germinated,-25.33267621,17.30747236
Not,-17.44389925,9.765323347
Not,-17.41068282,-3.221378282
Not,-14.10178442,-0.113309989
Not,-17.37411558,9.966434152
Not,-12.58964983,6.202545831
Not,-21.60980089,15.82578025
Not,-15.10504096,8.906306853
Germinated,-13.09469302,5.303108997
Not,-13.84155212,4.438000991
Not,-18.31747663,0.515472239
Not,-18.64127706,4.241841355
Not,-13.37310974,-1.656714149
Germinated,-17.81315911,3.972619144
Not,-11.97755321,3.810929405
Not,-15.53178648,8.578485756
Not,-15.97737136,8.270885729
Not,-15.060972,5.343937869
Not,-17.57530989,-3.003003515
Not,-17.82515988,3.109224978
Germinated,-18.72749785,2.302311763
Not,-13.47214795,3.99052184
Not,-10.64825675,2.761016872
Germinated,-24.33872685,7.404166954
Not,-19.16807287,8.983478045
Germinated,-20.48939324,5.218077405
Germinated,-22.23908345,-1.66871103
Not,-17.92183949,6.269015435
Not,-15.24379699,7.773462977
Germinated,-25.67588638,5.319559051
Germinated,-18.44858795,1.885612667
Not,-11.97239184,-1.158418189
Germinated,-13.61774787,5.109417038
Germinated,-16.24303941,2.122315999
Not,-22.23592142,-0.210750647
Not,-20.47404927,6.096616629
Germinated,-19.45912748,6.69314288
Germinated,-17.47866662,4.479552177
Germinated,-16.07241978,7.328383981
Not,-15.734505,7.715212341
Not,-16.11024948,10.23582785
Not,-15.44870522,6.015605691
Not,-23.46984434,-5.845576332
Not,-16.31983599,-5.352170617
Not,-17.8140699,8.376547573
Germinated,-28.29207878,11.6214694
Germinated,-15.13738195,7.085243379
Germinated,-24.01725533,13.48789444
Not,-14.14096265,-0.797349055
Not,-15.9580735,6.255974887
Germinated,-27.36831505,-5.774827313
Germinated,-33.10672509,1.797637086
Not,-14.67018998,-2.560888307
Germinated,-21.31304159,-3.429699152
Not,-18.31544681,-0.055866225
Germinated,-34.75031508,22.21312769
Germinated,-27.07296878,4.183941294
Germinated,-19.47149136,3.868867424
Germinated,-29.09580968,-2.371608397
Germinated,-26.88072617,8.805264944
Not,-14.2756535,5.875948431
Germinated,-28.36070724,13.79387816
Germinated,-20.20469341,11.42230841
Not,-14.60121908,7.291523544
Germinated,-23.36990937,9.660110402
Not,-16.4927326,7.029225488
Not,-20.25175958,-1.986825871
Not,-14.88258771,-1.142207789
Not,-17.36092092,9.193868086
Not,-15.5920162,11.48287181
Germinated,-26.45661166,21.86143203
Not,-18.88635964,13.97294089
Germinated,-14.67302518,8.697819573
Not,-16.30239598,9.780270683
Not,-20.42369674,6.881947899
Not,-20.66227839,9.91558771
Not,-13.6448614,2.669715742
Germinated,-24.63506005,8.832853837
Not,-14.1960123,8.265103375
Not,-15.08115539,5.707672943
Not,-19.29363392,14.15440203
Not,-16.62118823,11.28198589
Not,-20.09706753,-0.032779692
Not,-18.23799472,2.420363789
Germinated,-20.27251569,4.434277066
Not,-15.58799642,8.885178911
Not,-10.76751779,1.70345254
Germinated,-32.45663568,13.52008376
Not,-22.6979986,14.77903968
Germinated,-28.3614457,8.474524285
Germinated,-27.3920903,3.337280301
Not,-18.2405634,10.62495398
Not,-16.35024487,11.35815677
Germinated,-31.43128744,10.01357799
Germinated,-21.33402229,2.150363959
Not,-14.09449059,-2.231269901
Germinated,-14.00581388,8.212671068
Germinated,-17.12013318,5.439405772
Not,-23.10184261,6.934506531
Germinated,-19.521402,11.23119242
Germinated,-23.34641441,5.893469347
Germinated,-21.1586812,5.155353569
Germinated,-18.07074845,9.584038172
Not,-13.42371576,1.49050278
Not,-15.90418154,11.96029552
Not,-14.07770025,8.719896385
Not,-22.7652229,-4.594764537
Not,-16.36555025,-4.198015379
Not,-17.56697549,10.39537699
Germinated,-35.69777477,12.543799
Germinated,-20.68133697,0.488114399
Germinated,-27.40093583,13.41194318
Not,-14.52652062,-2.022633317
Not,-14.02600788,8.689231037
Germinated,-29.9976294,-2.233639967
Germinated,-36.10640445,1.483392963
Not,-17.86296322,-8.987560696
Germinated,-23.17768268,-0.817599716
Not,-15.69564883,-5.663730316
Germinated,-37.47805368,22.79561349
Germinated,-19.53611727,5.300574746
Germinated,-22.69372459,2.701520292
Germinated,-33.27665,-4.681317723
Germinated,-28.31457042,6.49093011
Not,-13.27448788,5.487703046
Germinated,-30.87593817,16.68092171
Germinated,-16.16734128,5.88439145
Not,-13.48799045,7.440926563
Germinated,-28.56590864,10.20703349
Not,-15.44971085,6.132622557
Not,-23.92275042,-5.03163622
Not,-17.53219594,-3.225461532
Not,-15.90459621,3.849369923
Not,-15.89396788,11.09310188
Germinated,-24.70405929,17.11676685
Germinated,-18.13930565,12.60941797
Germinated,-18.56890298,10.10744645
Not,-15.24662466,7.725145662
Not,-22.53148138,5.077640077
Not,-23.84804105,9.802299641
Not,-21.02325481,0.00660024
Germinated,-31.42076962,8.197445667
Not,-15.09059584,8.282447579
Not,-17.59952672,3.326378755
Not,-19.6098123,13.65367548
Not,-16.69146656,8.44907588
Not,-26.26208586,-3.996730746
Not,-20.44470881,-2.767963818
Germinated,-27.00935691,4.488394386
Not,-18.06069524,8.591539458
Not,-13.93837637,-0.303934765
Germinated,-32.34361359,11.7442438
Not,-23.72505519,13.98128832
Germinated,-30.17022643,6.886968764
Germinated,-31.6867032,-3.242934999
Not,-20.94768612,8.881173873
Not,-19.11687265,11.4139444
Germinated,-39.82162815,12.87128715
Germinated,-25.07147264,2.496918842
Not,-19.86640275,-3.159896898
Germinated,-16.93009241,8.983332556
Germinated,-18.65746978,6.386154591
Not,-28.53290908,1.389549416
Germinated,-26.87966877,8.213120956
Germinated,-26.1601701,-1.567923105
Germinated,-32.70656791,4.562444641
Germinated,-22.04971548,11.86803942
Not,-16.68618064,-0.716635031
Not,-17.53422459,13.0654543
Not,-14.56934619,8.565450623
Not,-30.29627725,-13.0867223
Not,-26.68536814,-5.262915563
Not,-23.86234474,9.751291846
Germinated,-46.21555347,11.02084781
Germinated,-30.85710055,-2.218137281
Germinated,-37.44438891,12.94630384
Not,-19.11380513,-0.909587729
Not,-14.84048626,9.044639822
Germinated,-37.30345977,-10.25269868
Germinated,-42.49411739,-0.596146715
Not,-29.04223456,-13.04158746
Germinated,-30.7436621,-1.354365891
Not,-23.52539853,-8.274810317
Germinated,-46.2312759,24.43174589
Germinated,-39.34127893,4.166707126
Germinated,-24.25368664,6.350797082
Germinated,-33.80653575,-7.918141748
Germinated,-31.95239182,8.922701204
Not,-16.08157734,7.039695638
Germinated,-39.7780171,21.61105899
Germinated,-26.5782373,9.813481923
Not,-15.72262983,10.11911696
Germinated,-34.63321621,12.53440328
Not,-14.4014084,8.670062939
Not,-22.28921739,-3.790669988
Not,-19.16699533,-4.789597512
Not,-15.20115737,-0.053722707
Not,-15.50319556,11.13318776
Germinated,-28.19040621,19.97628922
